Username,FollowAge,IsFollower,BatName,BatGender,BatColor,0
patatas16,74185,0,Mirage,Female,Brown,0
justjerepvp,74109,0,Impaler,Male,Black,0
breno55bb,74061,0,Aura,Female,Black,0
keedyjennifer,73985,0,Flaps,Male,Brown,0
baszieboy,73865,0,Violet,Female,Red,0
KristofWolfe,73751,0,Scarlett,Female,Black,0
fanatics71,73750,0,Cookie,Female,Black,0
Dragon_KingTV,73689,0,Archangel,Male,Brown,0
xleafeh,73573,0,Shine,Female,Black,0
Nbhd298,73518,0,Abby,Female,Black,0
tyrone450,73468,0,Illumina,Female,Brown,0
Magicman10YT,73350,0,Morticia,Female,Black,0
salo6603,73327,0,Nightmare,Male,Black,0
davism2105,72839,0,Sage,Female,Brown,0
viper634gmail,72142,0,Nugget,Female,Red,0
NoFitIt,70326,0,Matrix,Male,Black,0
siiselikuningas11,711,0,Iris,Female,Black,0
Hjerpen06,84067,0,Iris,Female,Brown,0
Bobi6767,77769,0,Mothra,Male,Black,0
Laytinik,72761,0,Rhyme,Female,Black,0
SkylerWild,69731,0,Iris,Female,Brown,0
catboots0101,67987,0,Char,Male,Black,0
SirCommunity,67797,0,Lucy,Female,Black,0
beastpunisher421,65513,0,Grey,Male,Brown,0
zombiesnightout13,65498,0,Scarlett,Female,Red,0
anconiogamer48,83669,0,Blues,Male,Black,0
BigAl607,60934,0,Harmony,Female,Black,0
FlufflesBeTheBest,25188,0,Violet,Female,Brown,0
Mineatnight123,77365,0,Ruth,Female,Black,0
headphonegraveyard,67858,0,Nugget,Female,Black,0
MomDivine,79643,0,Morticia,Female,Brown,0
bmanhero,65320,0,Flutters,Female,Black,0
spacecube26th,3356,0,Illumina,Female,Black,0
TarilltheMad,62720,0,Violet,Female,Brown,0
NumberlessElpeque,60927,0,Moon,Male,Black,0
Avenged_Soulgiver,53681,0,Darth,Male,Red,0
AmunGomperts,80033,0,Shrike,Male,Black,0
daddyslittlegirl666,54474,0,Nightmare,Male,Brown,0
toxickoala05,512,0,Blues,Male,Black,0
clauskem,84264,0,Spuds,Male,Black,0
PorcoTunado,72140,0,Dot,Female,Brown,0
MOOKLE_BEST_VERSION,53402,0,Azurys,Female,Black,0
TheTrueWowo,47799,0,Star,Female,Black,0
xpert_the_wrst,46923,0,Sabath,Male,Brown,0
TwitchExcellency,81064,0,Nibbles,Female,Red,0
bandanyt,6375,0,Screech,Male,Black,0
gitarrlillan,4952,0,Dawnstar,Female,Black,0
minerdude1511,84467,0,Nightmare,Male,Brown,0
PixlationGaming,78091,0,Lady,Female,Black,0
wheelsssss,69108,0,Cerulean,Female,Black,0
Octostarx,71119,0,Ivy,Female,Brown,0
Specex200,72977,0,Moon,Male,Black,0
johnpaul79,67094,0,Flutters,Female,Black,0
fluttershy091,63391,0,Char,Male,Brown,0
black_burner_,62475,0,Wingnut,Male,Red,0
ichibadass,58445,0,Bandetta,Female,Black,0
DeniseGOLDENQUEENGODDESS,75929,0,Velvet,Female,Black,0
Roansas,68548,0,Ivy,Female,Brown,0
Flexina,63789,0,Rhyme,Female,Black,0
Jester1147,60940,0,Bandetta,Female,Black,0
Sephiroth,60919,0,Equina,Female,Brown,0
Brenneman17,60904,0,Echo,Female,Black,0
Intimae,60902,0,Sage,Female,Black,0
unkidrik,60855,0,Vulkan,Male,Brown,0
monard40,60854,0,Trixy,Female,Red,0
Dragoness_,60718,0,Shade,Female,Black,0
Lurthis,60369,0,Abby,Female,Black,0
littleranny123,69886,0,Comet,Male,Brown,0
emma_velthoven,66655,0,Raine,Female,Black,0
Quote_X,60903,0,Lady,Female,Black,0
Awesomegamer7689,56995,0,Iris,Female,Brown,0
Kinginferno24,55979,0,Violet,Female,Black,0
ice_burg_94,57490,0,Ash,Male,Black,0
Turbomini6,47014,0,Dot,Female,Brown,0
rhianaerawynn,62541,0,Guano,Male,Red,0
Chachava,62522,0,Vamp,Male,Black,0
insane8472,60050,0,Cole,Male,Black,0
Ishkya,46301,0,Sonar,Male,Brown,0
im2spooky5u,42646,0,Bruce,Male,Black,0
my_knee_grows_fast_XD,68062,0,Fuzz,Male,Black,0
EveIyn_McKnight,77679,0,Abby,Female,Brown,0
Zerg3rr,43131,0,Trixy,Female,Black,0
SwedenCatboy_Gaming,84425,0,Morticia,Female,Black,0
Nbros44,82944,0,Raine,Female,Brown,0
juju_thecoonkiller,80651,0,Rhyme,Female,Black,0
fuzzyray,66752,0,Velvet,Female,Red,0
Coleski123,52724,0,Screech,Male,Black,0
gassin_jewws,36747,0,Char,Male,Brown,0
GmaxLittle2004,34798,0,Drake,Male,Black,0
ianhos,20754,0,Shade,Female,Black,0
ZA_asinglefishYT,16698,0,Indigo,Female,Brown,0
lovetrovemew,16429,0,Dawnstar,Female,Black,0
lolmanzee1,15590,0,Nightmare,Male,Black,0
ijerice6,15568,0,Mittens,Female,Brown,0
the_rusemaster,74026,0,Butch,Male,Red,0
colegamerkid,69260,0,Nightmare,Male,Black,0
will_0202,68344,0,Flutters,Female,Black,0
Gavinovsky,65909,0,Angel,Female,Brown,0
GeekLeafGaming,1619,0,Wingnut,Male,Black,0
Kaytrim,71580,0,Blade,Male,Black,0
katlover,78102,0,Mirage,Female,Brown,0
zoroark720,56300,0,Brutus,Male,Black,0
concentration_camp_chris,80588,0,Twilight,Female,Black,0
Thecoolestpanda,77760,0,Guano,Male,Brown,0
my_dixi_rect76,82029,0,Nugget,Female,Red,0
emmalov18,69656,0,Morticia,Female,Black,0
Xmandier,22801,0,Sage,Female,Black,0
jackoffjac,21187,0,Midnight,Male,Brown,0
smellykneegrou,20840,0,Lady,Female,Black,0
FearlessPilot,20725,0,Shadow,Male,Black,0
MovingNova,5761,0,Morning,Female,Brown,0
nickem10,5697,0,Brutus,Male,Black,0
lj_loves_horses,5340,0,Dawnstar,Female,Black,0
rickyjay,80161,0,Blues,Male,Brown,0
Mooface0,71848,0,Velvet,Female,Red,0
tripgod3,61372,0,Mirage,Female,Black,0
erickelement,54341,0,Nibbles,Female,Black,0
lcewollow_come,37230,0,Star,Female,Brown,0
000n1cker,34403,0,Shadow,Male,Black,0
vmorts,22217,0,Scarlett,Female,Black,0
DeadPine,18808,0,Rhyme,Female,Brown,0
JulianRaley,16435,0,Nugget,Female,Black,0
fkn3ggersplays,63053,0,Blues,Male,Black,0
gamethecupdog,3936,0,Lucifer,Male,Brown,0
matthewlang_,1959,0,Char,Male,Red,0
cosmicwarriorgd,75254,0,Rascal,Male,Black,0
dpkdesign,61969,0,Angel,Male,Black,0
Dread_Muffin,60838,0,Angel,Male,Brown,0
enderedgeplayz,67005,0,Skye,Female,Black,0
lapeeka,66942,0,Harmony,Female,Black,0
tommy_and_tess_tickles,65954,0,Shadow,Male,Brown,0
GoKillYourselfYouFatKunt,64489,0,Abby,Female,Black,0
tyraxes_dragonborn,63913,0,Bruce,Male,Black,0
buddybear04,55103,0,Iris,Female,Brown,0
blm216,55040,0,Flutters,Female,Black,0
MarauderPirate,32269,0,Siren,Female,Red,0
sonny_prettyboi,30508,0,Iris,Female,Black,0
xIsabellxx,26444,0,Moon,Male,Brown,0
Fluentchaos,81613,0,Vulkan,Male,Black,0
behappy22,70383,0,Butch,Male,Black,0
MrStakvik,355,0,Wingnut,Male,Brown,0
kari_mysac123,339,0,Shrike,Male,Black,0
jennatools43,339,0,Screech,Male,Black,0
fishy_puss,290,0,Nightmare,Male,Brown,0
ridgureizgay,90,0,Archangel,Male,Black,0
Epicgirl20,82103,0,Tiberius,Male,Red,0
killallbeanswhitepower,75498,0,Sade,Female,Black,0
Greycrescent,62614,0,Giggles,Female,Brown,0
Trayaurus_says_hi,69516,0,Harmony,Female,Black,0
TiTLEUP,20844,0,Azurys,Female,Black,0
Theskellyassassin,76238,0,Equina,Female,Brown,0
nickcool9999,60019,0,Lady,Female,Black,0
marsbars8795_za,59926,0,Scarlett,Female,Black,0
Fars__Legacy,72836,0,Vamp,Male,Brown,0
Festivities,72799,0,Azurys,Female,Red,0
pninja12,72775,0,Archangel,Male,Black,0
grimmtera777,72769,0,Blues,Male,Black,0
WibbletheDuck,72753,0,Vamp,Male,Brown,0
Galexantiocletos,72737,0,Sona,Female,Black,0
ShastaHun,72730,0,Shrike,Male,Black,0
alisenpai,72713,0,Matrix,Male,Brown,0
xIWestie,72710,0,Lucifer,Male,Black,0
Molwiz,72642,0,Cerulean,Female,Black,0
Ryanestrasz,72436,0,Orion,Male,Brown,0
Siakon,72400,0,Angel,Male,Red,0
Trotter93,72208,0,Grey,Male,Black,0
silentmygameing123,71091,0,Grey,Male,Black,0
Sharkie_,70925,0,Sade,Female,Brown,0
Grim_Decisions,70507,0,Orion,Male,Black,0
CrossMyDNA,64962,0,Indigo,Female,Black,0
Sarainia_KR_Angelsong,64873,0,Giggles,Female,Brown,0
kaptainkamper,64840,0,Ruth,Female,Black,0
SwayJEDI,64833,0,Echo,Female,Black,0
Sleeper777,64792,0,Nugget,Female,Brown,0
Bastet369,64791,0,Rascal,Male,Red,0
Lianne669,64759,0,Drake,Male,Black,0
v999mom,64741,0,Morning,Female,Black,0
JakeO,64729,0,Fuzz,Male,Brown,0
Mark_Bodger,64685,0,Mirage,Female,Black,0
absolut_kali,64681,0,Trixy,Female,Black,0
Lady_Kittia,64671,0,Midnight,Male,Brown,0
KGTheNumbers,64572,0,Shine,Female,Black,0
HazelRah89,64543,0,Sonar,Male,Black,0
Shutupandminewithme,64408,0,Azar,Male,Brown,0
The_Sith_Empire,63875,0,Brutus,Male,Red,0
princess___lissy,62770,0,Vulkan,Male,Black,0
Ted_E,57243,0,Vamp,Male,Black,0
whiterose11,64600,0,Skylar,Female,Brown,0
somedestinyperson,53194,0,Archangel,Male,Black,0
Ababail,47285,0,Abby,Female,Black,0
Blackwolfster,41816,0,Shrike,Male,Brown,0
Pracer73,83756,0,Flaps,Male,Black,0
sharkana321,67404,1,Guano,Male,Black,0
Teacupika,67389,1,Vulkan,Male,Brown,0
Wookiee_93,67337,1,Moon,Male,Black,0
tex0r,67142,1,Rhyme,Female,Red,0
TheCazadorSniper,65679,1,Sona,Female,Black,0
w0lfking69,57872,1,Dimitri,Male,Brown,0
AapgScorpion,64457,1,Iris,Female,Black,0
DarkQueenO_O,64456,1,Char,Male,Black,0
honorary68,64408,1,Impaler,Male,Brown,0
dajuniorxdx,42478,1,Guano,Male,Black,0
bodada104,32864,1,Guano,Male,Black,0
mattarnold06,10747,1,Sage,Female,Brown,0
ghazle9,60037,1,Mirage,Female,Red,0
thomaskellogg15,50429,1,Matrix,Male,Black,0
superstarreader,5328,1,Shine,Female,Black,0
yaboiinickgur65,79084,1,Sage,Female,Brown,0
BUSCUR51,74402,1,Sade,Female,Black,0
junklife_,70078,1,Midnight,Male,Black,0
dashthegamer___,68697,1,Mittens,Female,Brown,0
